missDate,classified,cloud,openWater,lightNSSed,OSSed,dNSSed,other,area_ha
Sentinel-2B_2022-02-22,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-02-23,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-02-25,69728.66471654903,51005.243773490205,0.0,0.0,0.0,0.0,18723.420943058827,77102.78693711074
Sentinel-2A_2022-02-27,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-02-28,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-03-02,69728.66471654903,51005.243773490205,0.0,0.0,0.0,0.0,18723.420943058827,77102.78693711074
Sentinel-2B_2022-03-04,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-03-05,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-03-07,69728.66471654903,34609.38966839216,18723.420943058827,0.0,0.0,0.0,16395.854105098042,77102.78693711074
Sentinel-2A_2022-03-09,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-03-10,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-03-12,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-03-14,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-03-15,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-03-17,69728.66471654903,51005.243773490205,0.0,18723.420943058827,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-03-19,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-03-20,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-03-22,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-03-24,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-03-25,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-03-27,69728.66471654903,51005.243773490205,18723.420943058827,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-03-29,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-03-30,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-04-01,69728.66471654903,51005.243773490205,18723.420943058827,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-04-03,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-04-04,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-04-06,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-04-08,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-04-09,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-04-11,69728.66471654903,51005.243773490205,18723.420943058827,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-04-13,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-04-14,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-04-16,69728.66471654903,53332.81061145099,0.0,0.0,0.0,0.0,16395.854105098042,77102.78693711074
Sentinel-2A_2022-04-18,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-04-19,10517.522411921569,10182.913144470589,0.0,0.0,0.0,0.0,334.60926745098044,77102.78693711074
Sentinel-2A_2022-04-21,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-04-23,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-04-24,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-04-26,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-04-28,24091.86725647059,0.0,0.0,0.0,0.0,0.0,24091.86725647059,77102.78693711074
Sentinel-2A_2022-05-01,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-05-03,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-05-04,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-05-06,69728.66471654903,10182.913144470589,18723.420943058827,0.0,0.0,0.0,40822.33062901961,77102.78693711074
Sentinel-2A_2022-05-08,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-05-09,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-05-11,69728.66471654903,51005.243773490205,0.0,18723.420943058827,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-05-13,24091.86725647059,0.0,0.0,0.0,0.0,0.0,24091.86725647059,77102.78693711074
Sentinel-2A_2022-05-14,10517.522411921569,334.60926745098044,0.0,0.0,0.0,0.0,10182.913144470589,77102.78693711074
Sentinel-2B_2022-05-16,69728.66471654903,28906.334087529416,0.0,0.0,0.0,0.0,40822.33062901961,77102.78693711074
Sentinel-2A_2022-05-18,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-05-19,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-05-21,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-05-23,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-05-24,10517.522411921569,10182.913144470589,0.0,0.0,0.0,0.0,334.60926745098044,77102.78693711074
Sentinel-2B_2022-05-26,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-05-28,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-05-29,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-05-31,69728.66471654903,45636.79746007844,0.0,0.0,0.0,0.0,24091.86725647059,77102.78693711074
Sentinel-2B_2022-06-02,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-06-03,10517.522411921569,0.0,0.0,0.0,0.0,334.60926745098044,10182.913144470589,77102.78693711074
Sentinel-2B_2022-06-05,69728.66471654903,0.0,18723.420943058827,0.0,0.0,16730.463372549024,34274.78040094118,77102.78693711074
Sentinel-2A_2022-06-07,24091.86725647059,0.0,0.0,0.0,0.0,24091.86725647059,0.0,77102.78693711074
Sentinel-2B_2022-06-08,10517.522411921569,0.0,0.0,0.0,0.0,334.60926745098044,10182.913144470589,77102.78693711074
Sentinel-2A_2022-06-10,69728.66471654903,334.60926745098044,18723.420943058827,0.0,0.0,24091.86725647059,26578.76724956863,77102.78693711074
Sentinel-2B_2022-06-12,24091.86725647059,24091.86725647059,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-06-13,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-06-15,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-06-17,24091.86725647059,0.0,0.0,0.0,0.0,24091.86725647059,0.0,77102.78693711074
Sentinel-2B_2022-06-18,10517.522411921569,10517.522411921569,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-06-20,69728.66471654903,0.0,18723.420943058827,0.0,0.0,40487.721361568634,10517.522411921569,77102.78693711074
Sentinel-2B_2022-06-22,24091.86725647059,0.0,0.0,0.0,0.0,0.0,24091.86725647059,77102.78693711074
Sentinel-2A_2022-06-23,10517.522411921569,10182.913144470589,0.0,0.0,0.0,334.60926745098044,0.0,77102.78693711074
Sentinel-2B_2022-06-25,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-06-27,24091.86725647059,0.0,0.0,0.0,0.0,24091.86725647059,0.0,77102.78693711074
Sentinel-2B_2022-06-28,10517.522411921569,334.60926745098044,0.0,0.0,0.0,0.0,10182.913144470589,77102.78693711074
Sentinel-2A_2022-06-30,69728.66471654903,16395.854105098042,0.0,0.0,0.0,34274.78040094118,19058.03021050981,77102.78693711074
Sentinel-2B_2022-07-02,24091.86725647059,0.0,0.0,0.0,0.0,0.0,24091.86725647059,77102.78693711074
Sentinel-2A_2022-07-03,10517.522411921569,334.60926745098044,0.0,0.0,0.0,0.0,10182.913144470589,77102.78693711074
Sentinel-2B_2022-07-05,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2022-07-07,24091.86725647059,0.0,0.0,0.0,0.0,0.0,24091.86725647059,77102.78693711074
Sentinel-2B_2022-07-08,10517.522411921569,0.0,0.0,0.0,0.0,334.60926745098044,10182.913144470589,77102.78693711074
Sentinel-2A_2022-07-10,69728.66471654903,69728.66471654903,0.0,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2022-07-12,24091.86725647059,0.0,0.0,0.0,0.0,0.0,24091.86725647059,77102.78693711074
