"mission","date","name","initials","finished?","n_PR","PRs"
"LANDSAT_8",2019-04-03,"","","",2,"2627; 2628"
"LANDSAT_5",2010-07-31,"","","",2,"2627; 2628"
"LANDSAT_7",2001-05-11,"","","",2,"2627; 2628"
"LANDSAT_9",2022-05-21,"","","",2,"2627; 2628"
"LANDSAT_5",1987-07-16,"","","",2,"2627; 2628"
"LANDSAT_8",2021-10-17,"","","",2,"2627; 2628"
"LANDSAT_5",2010-07-15,"","","",2,"2627; 2628"
"LANDSAT_5",1999-09-03,"","","",2,"2627; 2628"
"LANDSAT_5",1998-08-15,"","","",2,"2627; 2628"
"LANDSAT_5",1995-09-08,"","","",2,"2627; 2628"
"LANDSAT_5",1987-06-30,"","","",2,"2627; 2628"
"LANDSAT_8",2015-11-18,"","","",2,"2627; 2628"
"LANDSAT_5",1992-08-14,"","","",2,"2627; 2628"
"LANDSAT_7",2000-08-12,"","","",1,"2627"
"LANDSAT_7",2009-08-21,"","","",2,"2627; 2628"
"LANDSAT_8",2022-07-16,"","","",2,"2627; 2628"
"LANDSAT_5",1985-04-21,"","","",2,"2627; 2628"
"LANDSAT_5",1994-11-08,"","","",2,"2627; 2628"
"LANDSAT_7",2012-09-14,"","","",2,"2627; 2628"
"LANDSAT_5",2008-05-22,"","","",2,"2627; 2628"
"LANDSAT_8",2014-04-21,"","","",2,"2627; 2628"
"LANDSAT_7",2006-06-10,"","","",2,"2627; 2628"
"LANDSAT_7",2019-11-05,"","","",2,"2627; 2628"
"LANDSAT_5",1990-10-12,"","","",2,"2627; 2628"
"LANDSAT_7",2012-06-26,"","","",2,"2627; 2628"
"LANDSAT_5",2001-08-07,"","","",2,"2627; 2628"
"LANDSAT_5",1997-07-27,"","","",2,"2627; 2628"
"LANDSAT_5",1987-08-17,"","","",2,"2627; 2628"
"LANDSAT_7",2001-09-16,"","","",1,"2628"
"LANDSAT_7",2015-05-02,"","","",2,"2627; 2628"
"LANDSAT_5",1999-11-22,"","","",1,"2628"
"LANDSAT_7",1999-09-27,"","","",2,"2627; 2628"
"LANDSAT_7",1999-09-11,"","","",2,"2627; 2628"
"LANDSAT_5",1991-08-12,"","","",2,"2627; 2628"
"LANDSAT_5",2003-06-26,"","","",1,"2628"
"LANDSAT_7",2014-06-16,"","","",2,"2627; 2628"
"LANDSAT_5",2004-11-03,"","","",2,"2627; 2628"
"LANDSAT_7",2017-10-14,"","","",2,"2627; 2628"
"LANDSAT_8",2015-04-24,"","","",1,"2627"
"LANDSAT_8",2020-06-24,"","","",2,"2627; 2628"
"LANDSAT_8",2017-08-19,"","","",2,"2627; 2628"
"LANDSAT_5",2002-08-10,"","","",2,"2627; 2628"
